;time;be_de;be_fr;de_fr
7711;20201117_0700;0.0;25.4;712.5
7712;20201117_0800;0.0;215.5;699.7
7713;20201117_0900;0.0;318.8;547.2
7714;20201117_1000;14.7;461.8;538.2
7715;20201117_1100;420.0;195.0;195.0
7716;20201117_1200;441.3;241.2;241.2
7717;20201117_1300;61.5;487.9;487.9
7718;20201117_1400;425.2;384.8;384.8
7719;20201117_1500;514.6;108.0;108.0
7720;20201117_1600;0.0;0.0;0.0
7721;20201117_1700;0.0;0.0;0.0
7722;20201117_1800;0.0;0.0;0.0
7723;20201117_1900;0.0;0.0;0.0
7724;20201117_2000;0.0;0.0;0.0
7725;20201117_2100;113.4;24.4;24.4
7726;20201117_2200;35.4;7.9;7.9
7727;20201117_2300;0.0;115.8;212.0
7728;20201118_0000;0.0;244.6;272.6
7729;20201118_0100;0.0;201.0;400.5
7730;20201118_0200;0.0;47.6;605.5
7731;20201118_0300;0.0;0.0;646.4
7732;20201118_0400;0.0;186.9;455.9
7733;20201118_0500;0.0;269.9;301.3
7734;20201118_0600;0.0;269.5;309.5
7735;20201118_0700;0.0;0.0;777.1
7736;20201118_0800;0.0;0.0;770.3
7737;20201118_0900;0.0;294.3;705.7
7738;20201118_1000;0.0;313.0;463.4
7739;20201118_1100;0.0;267.7;732.3
7740;20201118_1200;0.0;259.8;740.2
7741;20201118_1300;0.0;251.7;747.1
7742;20201118_1400;0.0;216.1;614.7
7743;20201118_1500;0.0;172.2;306.1
7744;20201118_1600;25.4;197.9;197.9
7745;20201118_1700;39.0;106.8;106.8
7746;20201118_1800;34.7;135.2;135.2
7747;20201118_1900;73.7;141.4;141.4
7748;20201118_2000;0.0;217.9;217.9
7749;20201118_2100;0.0;211.6;211.6
7750;20201118_2200;0.0;198.7;198.7
7751;20201118_2300;0.0;245.3;245.3
7752;20201119_0000;0.0;312.4;312.4
7753;20201119_0100;0.0;309.3;379.8
7754;20201119_0200;0.0;284.4;316.3
7755;20201119_0300;0.0;159.7;243.5
7756;20201119_0400;0.0;111.2;237.6
7757;20201119_0500;0.0;212.2;276.0
7758;20201119_0600;0.0;151.4;163.1
7759;20201119_0700;0.0;0.0;742.8
7760;20201119_0800;328.8;152.6;152.6
7761;20201119_0900;17.5;448.9;551.1
7762;20201119_1000;0.0;426.6;554.2
7763;20201119_1100;6.8;428.6;550.6
7764;20201119_1200;386.8;165.2;165.2
7765;20201119_1300;359.5;284.1;284.1
7766;20201119_1400;465.9;39.0;39.0
7767;20201119_1500;0.0;0.0;0.0
7768;20201119_1600;0.0;0.0;0.0
7769;20201119_1700;0.0;0.0;0.0
7770;20201119_1800;0.0;0.0;0.0
7771;20201119_1900;0.0;0.0;0.0
7772;20201119_2000;0.0;0.0;0.0
7773;20201119_2100;0.0;0.0;0.0
7774;20201119_2200;0.0;0.0;0.0
7775;20201119_2300;333.3;61.9;61.9
7776;20201120_0000;333.3;18.8;18.8
7777;20201120_0100;343.6;7.8;7.8
7778;20201120_0200;345.8;0.6;0.6
7779;20201120_0300;360.3;26.9;26.9
7780;20201120_0400;339.2;45.6;45.6
7781;20201120_0500;406.2;147.3;147.3
7782;20201120_0600;379.9;77.1;77.1
7783;20201120_0700;486.5;87.8;87.8
7784;20201120_0800;516.0;159.8;159.8
7785;20201120_0900;524.0;206.4;206.4
7786;20201120_1000;510.4;221.5;221.5
7787;20201120_1100;495.7;211.9;211.9
7788;20201120_1200;492.0;190.0;190.0
7789;20201120_1300;493.1;120.7;120.7
7790;20201120_1400;0.0;0.0;0.0
7791;20201120_1500;0.0;0.0;0.0
7792;20201120_1600;381.8;72.0;72.0
7793;20201120_1700;0.0;0.0;0.0
7794;20201120_1800;0.0;0.0;0.0
7795;20201120_1900;362.1;86.8;86.8
7796;20201120_2000;334.2;68.4;68.4
7797;20201120_2100;293.5;32.4;32.4
7798;20201120_2200;259.9;1.0;1.0
7799;20201120_2300;0.0;0.0;0.0
7800;20201121_0000;0.0;0.0;0.0
7801;20201121_0100;0.0;0.0;0.0
7802;20201121_0200;0.0;0.0;0.0
7803;20201121_0300;0.0;0.0;0.0
7804;20201121_0400;0.0;0.0;0.0
7805;20201121_0500;463.9;0.0;0.0
7806;20201121_0600;0.0;0.0;0.0
7807;20201121_0700;499.8;144.3;144.3
7808;20201121_0800;497.0;239.5;239.5
7809;20201121_0900;472.2;275.2;275.2
7810;20201121_1000;467.2;281.4;281.4
7811;20201121_1100;441.6;268.0;268.0
7812;20201121_1200;477.8;235.3;235.3
7813;20201121_1300;531.1;185.1;185.1
7814;20201121_1400;525.3;81.2;81.2
7815;20201121_1500;0.0;0.0;0.0
7816;20201121_1600;0.0;0.0;0.0
7817;20201121_1700;0.0;0.0;0.0
7818;20201121_1800;0.0;0.0;0.0
7819;20201121_1900;0.0;0.0;0.0
7820;20201121_2000;0.0;0.0;0.0
7821;20201121_2100;0.0;0.0;0.0
7822;20201121_2200;102.4;0.0;0.0
7823;20201121_2300;127.8;0.0;0.0
7824;20201122_0000;0.0;0.0;0.0
7825;20201122_0100;141.8;11.4;11.4
7826;20201122_0200;120.2;9.1;9.1
7827;20201122_0300;101.0;70.4;70.4
7828;20201122_0400;89.6;71.4;71.4
7829;20201122_0500;88.3;6.9;6.9
7830;20201122_0600;19.6;19.6;45.0
7831;20201122_0700;0.0;394.5;588.1
7832;20201122_0800;0.0;236.8;722.4
7833;20201122_0900;0.0;0.0;0.0
7834;20201122_1000;0.0;0.0;646.3
7835;20201122_1100;349.4;496.5;503.5
7836;20201122_1200;0.0;259.3;740.7
7837;20201122_1300;0.0;287.3;677.1
7838;20201122_1400;0.0;227.8;772.2
7839;20201122_1500;0.0;209.3;435.0
7840;20201122_1600;0.0;164.7;278.6
7841;20201122_1700;0.0;188.1;251.3
7842;20201122_1800;0.0;174.7;260.7
7843;20201122_1900;0.0;159.1;238.4
7844;20201122_2000;0.0;167.2;241.3
7845;20201122_2100;0.0;169.4;218.4
7846;20201122_2200;0.0;169.2;263.5
7847;20201122_2300;0.0;222.9;263.9
7848;20201123_0000;0.0;108.5;526.1
7849;20201123_0100;0.0;0.0;535.3
7850;20201123_0200;0.0;106.3;588.2
7851;20201123_0300;81.1;81.1;508.0
7852;20201123_0400;230.7;202.3;202.3
7853;20201123_0500;61.9;4.9;4.9
7854;20201123_0600;0.0;0.0;0.0
7855;20201123_0700;150.3;150.3;178.7
7856;20201123_0800;214.6;184.3;184.3
7857;20201123_0900;136.5;292.7;292.7
7858;20201123_1000;301.9;242.8;242.8
7859;20201123_1100;532.7;182.4;182.4
7860;20201123_1200;534.6;124.3;124.3
7861;20201123_1300;524.1;43.2;43.2
7862;20201123_1400;540.5;46.7;46.7
7863;20201123_1500;0.0;0.0;0.0
7864;20201123_1600;0.0;0.0;0.0
7865;20201123_1700;0.0;0.0;0.0
7866;20201123_1800;0.0;0.0;0.0
7867;20201123_1900;0.0;0.0;0.0
7868;20201123_2000;0.0;0.0;0.0
7869;20201123_2100;0.0;0.0;0.0
7870;20201123_2200;0.0;0.0;0.0
7871;20201123_2300;0.0;0.0;0.0
7872;20201124_0000;0.0;0.0;0.0
7873;20201124_0100;357.3;20.7;20.7
7874;20201124_0200;458.9;204.6;204.6
7875;20201124_0300;162.9;285.4;285.4
7876;20201124_0400;0.0;335.6;335.6
7877;20201124_0500;0.0;264.6;288.1
7878;20201124_0600;19.1;71.7;232.2
7879;20201124_0700;0.0;0.0;687.1
7880;20201124_0800;0.0;105.8;770.0
7881;20201124_0900;0.0;241.3;758.7
7882;20201124_1000;0.0;352.8;647.2
7883;20201124_1100;0.0;280.8;719.2
7884;20201124_1200;51.0;51.0;509.2
7885;20201124_1300;236.5;259.6;259.6
7886;20201124_1400;0.0;361.9;361.9
7887;20201124_1500;0.0;234.7;259.6
7888;20201124_1600;351.1;75.9;75.9
7889;20201124_1700;301.2;72.4;72.4
7890;20201124_1800;279.3;134.2;134.2
7891;20201124_1900;292.0;167.3;167.3
7892;20201124_2000;0.0;250.0;250.0
7893;20201124_2100;0.0;198.4;219.8
7894;20201124_2200;0.0;257.8;257.8
7895;20201124_2300;0.0;233.5;233.5
7896;20201125_0000;0.0;235.2;247.3
7897;20201125_0100;155.6;240.9;240.9
7898;20201125_0200;0.0;289.7;289.7
7899;20201125_0300;0.0;267.2;333.1
7900;20201125_0400;0.0;288.3;288.3
7901;20201125_0500;0.0;239.1;292.2
