;time;be_de;be_fr;de_fr
6128;20200912_0800;0.0;0.0;0.0
6129;20200912_0900;0.0;0.0;0.0
6130;20200912_1000;0.0;0.0;0.0
6131;20200912_1100;0.0;0.0;0.0
6132;20200912_1200;0.0;0.0;0.0
6133;20200912_1300;320.3;0.0;0.0
6134;20200912_1400;265.1;43.0;43.0
6135;20200912_1500;298.3;91.2;91.2
6136;20200912_1600;255.6;275.3;205.0
6137;20200912_1700;616.7;497.5;351.7
6138;20200912_1800;636.9;550.4;435.1
6139;20200912_1900;703.3;551.8;448.2
6140;20200912_2000;514.1;501.5;390.6
6141;20200912_2100;328.7;201.7;278.1
6142;20200912_2200;301.6;146.4;136.8
6143;20200912_2300;400.1;126.3;118.9
6144;20200913_0000;388.0;139.1;130.5
6145;20200913_0100;624.3;157.8;147.8
6146;20200913_0200;535.4;260.2;243.3
6147;20200913_0300;509.4;267.8;250.5
6148;20200913_0400;236.3;357.2;456.7
6149;20200913_0500;351.6;393.0;431.5
