;time;be_de;be_fr;de_fr
2644;20200420_0400;414.5;0.0;0.0
2645;20200420_0500;228.2;0.0;0.0
2646;20200420_0600;285.3;33.3;33.3
2647;20200420_0700;0.0;0.0;0.0
2648;20200420_0800;0.0;0.0;0.0
2649;20200420_0900;472.4;384.0;384.0
2650;20200420_1000;0.0;0.0;0.0
2651;20200420_1100;938.4;0.0;0.0
2652;20200420_1200;988.3;0.0;0.0
2653;20200420_1300;955.2;0.0;0.0
2654;20200420_1400;0.0;0.0;0.0
2655;20200420_1500;688.1;158.4;152.3
2656;20200420_1600;333.7;353.3;357.6
2657;20200420_1700;215.3;358.0;641.9
2658;20200420_1800;229.3;372.9;627.0
2659;20200420_1900;256.6;416.3;583.7
2660;20200420_2000;295.4;479.9;520.0
2661;20200420_2100;438.6;297.9;297.9
2662;20200420_2200;303.0;423.2;423.2
2663;20200420_2300;350.3;474.4;474.4
2664;20200421_0000;307.2;422.5;422.5
2665;20200421_0100;319.7;449.8;449.8
2666;20200421_0200;321.8;448.9;450.7
2667;20200421_0300;324.0;451.9;461.3
2668;20200421_0400;340.9;476.1;485.2
2669;20200421_0500;342.4;470.1;439.4
2670;20200421_0600;360.0;355.7;389.7
2671;20200421_0700;364.8;258.7;269.7
2672;20200421_0800;381.9;241.8;241.8
2673;20200421_0900;357.5;207.0;207.0
2674;20200421_1000;347.1;196.9;196.9
2675;20200421_1100;428.0;196.4;196.4
2676;20200421_1200;358.8;214.7;214.7
2677;20200421_1300;239.3;285.6;285.6
2678;20200421_1400;247.6;289.6;343.0
2679;20200421_1500;186.8;344.7;530.1
2680;20200421_1600;179.6;393.4;606.5
2681;20200421_1700;229.1;441.4;558.5
2682;20200421_1800;299.6;437.2;437.2
2683;20200421_1900;278.0;452.8;547.2
2684;20200421_2000;355.8;427.3;427.3
2685;20200421_2100;345.5;500.0;500.0
2686;20200421_2200;343.8;489.8;489.8
2687;20200421_2300;345.9;475.2;475.2
2688;20200422_0000;345.4;496.7;496.7
2689;20200422_0100;362.9;497.9;502.1
2690;20200422_0200;353.8;492.2;505.9
2691;20200422_0300;397.8;476.8;480.2
2692;20200422_0400;401.1;492.6;507.4
2693;20200422_0500;363.4;492.3;507.7
2694;20200422_0600;373.3;417.4;417.4
2695;20200422_0700;437.7;297.1;297.1
2696;20200422_0800;370.9;306.0;306.0
2697;20200422_0900;310.6;247.1;247.1
2698;20200422_1000;352.0;252.5;252.5
2699;20200422_1100;377.4;259.2;259.2
2700;20200422_1200;310.1;268.5;268.5
2701;20200422_1300;250.6;285.1;327.8
2702;20200422_1400;206.1;320.3;399.5
2703;20200422_1500;202.4;405.2;593.9
2704;20200422_1600;172.5;401.2;598.7
2705;20200422_1700;241.6;440.9;559.1
2706;20200422_1800;189.7;386.2;613.7
2707;20200422_1900;238.0;353.0;646.9
2708;20200422_2000;223.4;331.7;668.2
2709;20200422_2100;259.6;382.2;617.8
2710;20200422_2200;371.5;497.2;497.2
2711;20200422_2300;360.7;479.2;479.2
2712;20200423_0000;362.5;456.8;456.8
2713;20200423_0100;331.8;495.6;495.6
2714;20200423_0200;349.9;495.2;495.2
2715;20200423_0300;342.3;475.0;475.0
2716;20200423_0400;368.6;488.3;488.3
2717;20200423_0500;372.2;500.0;500.0
2718;20200423_0600;343.4;488.0;512.0
2719;20200423_0700;436.7;336.8;336.8
2720;20200423_0800;401.8;315.4;325.3
2721;20200423_0900;357.3;335.3;368.4
2722;20200423_1000;296.7;333.3;384.3
2723;20200423_1100;285.2;334.8;394.2
2724;20200423_1200;251.1;348.1;453.9
2725;20200423_1300;237.5;395.2;508.7
2726;20200423_1400;247.9;397.5;539.8
2727;20200423_1500;181.8;414.4;585.6
2728;20200423_1600;224.0;441.0;558.9
2729;20200423_1700;294.4;464.6;495.1
2730;20200423_1800;241.1;427.8;545.9
2731;20200423_1900;235.9;348.7;615.1
2732;20200423_2000;495.4;428.5;428.5
2733;20200423_2100;380.1;397.1;397.1
2734;20200423_2200;503.9;284.6;246.1
2735;20200423_2300;416.3;265.8;265.8
2736;20200424_0000;373.0;321.8;321.8
2737;20200424_0100;334.2;375.2;375.2
2738;20200424_0200;340.9;387.8;387.8
2739;20200424_0300;487.0;238.3;238.3
2740;20200424_0400;390.3;226.9;328.6
2741;20200424_0500;377.6;219.5;306.5
2742;20200424_0600;307.6;186.3;283.4
2743;20200424_0700;365.4;134.7;164.1
2744;20200424_0800;385.5;65.5;65.5
2745;20200424_0900;380.5;72.1;72.1
2746;20200424_1000;359.4;74.6;74.6
2747;20200424_1100;340.1;92.5;92.5
2748;20200424_1200;294.4;151.0;155.0
2749;20200424_1300;274.3;141.3;158.7
2750;20200424_1400;249.9;184.7;211.0
2751;20200424_1500;227.9;260.1;336.5
2752;20200424_1600;246.1;326.6;396.4
2753;20200424_1700;315.9;500.0;500.0
2754;20200424_1800;261.1;383.6;616.4
2755;20200424_1900;315.9;500.0;500.0
2756;20200424_2000;297.7;500.0;500.0
2757;20200424_2100;281.3;420.1;566.1
2758;20200424_2200;288.1;419.9;419.9
2759;20200424_2300;358.0;456.6;456.6
2760;20200425_0000;364.6;441.0;441.0
2761;20200425_0100;345.7;423.5;423.5
2762;20200425_0200;331.6;416.1;416.1
2763;20200425_0300;335.5;435.7;435.7
2764;20200425_0400;361.1;455.6;455.6
2765;20200425_0500;341.5;451.8;451.8
2766;20200425_0600;271.5;324.4;357.8
2767;20200425_0700;384.4;192.8;192.8
2768;20200425_0800;421.9;117.4;117.4
2769;20200425_0900;243.2;61.3;61.3
2770;20200425_1000;326.5;319.9;319.9
2771;20200425_1100;425.1;99.0;99.0
2772;20200425_1200;330.2;232.6;232.6
2773;20200425_1300;354.0;143.7;143.7
2774;20200425_1400;337.1;136.7;136.7
2775;20200425_1500;242.2;226.4;226.4
2776;20200425_1600;229.4;246.8;301.1
2777;20200425_1700;213.6;316.2;419.1
2778;20200425_1800;199.7;248.1;313.6
2779;20200425_1900;203.9;159.0;230.3
2780;20200425_2000;245.4;199.1;250.0
2781;20200425_2100;319.0;105.2;131.9
2782;20200425_2200;291.2;60.4;75.4
2783;20200425_2300;308.8;85.6;109.7
2784;20200426_0000;307.3;133.3;187.1
2785;20200426_0100;290.4;121.6;173.0
2786;20200426_0200;63.6;16.1;21.6
2787;20200426_0300;19.9;5.4;7.5
2788;20200426_0400;96.2;29.2;41.9
2789;20200426_0500;46.9;11.7;15.6
2790;20200426_0600;0.0;0.0;0.0
2791;20200426_0700;0.0;0.0;0.0
2792;20200426_0800;0.0;0.0;0.0
2793;20200426_0900;0.0;0.0;0.0
2794;20200426_1000;0.0;0.0;0.0
2795;20200426_1100;438.7;358.4;358.4
2796;20200426_1200;0.0;0.0;0.0
2797;20200426_1300;0.0;0.0;0.0
2798;20200426_1400;0.0;0.0;0.0
2799;20200426_1500;0.0;0.0;0.0
2800;20200426_1600;428.9;115.2;115.2
2801;20200426_1700;0.0;0.0;0.0
2802;20200426_1800;287.7;150.4;215.0
